date,study_site,longitude,latitude
1988-03-05,Hart Ranges,-121.39594895053158,53.45872722601499
1988-03-15,Hart Ranges,-121.28137310444508,53.42387098591668
1988-03-15,Hart Ranges,-121.20564594686701,53.39938281933436
1988-03-15,Hart Ranges,-121.27686055983492,53.42380595244754
1988-03-15,Hart Ranges,-121.23539244269024,53.443877350738724
1988-03-16,Hart Ranges,-121.43695295890038,53.572540053318995
1988-03-16,Hart Ranges,-121.4371517868912,53.56714892178945
1988-03-16,Hart Ranges,-121.43698610137008,53.57164153177231
1988-03-16,Hart Ranges,-121.36598498268957,53.53293599510194
1988-03-17,Hart Ranges,-121.83721230333309,54.392358541402814
1988-03-17,Hart Ranges,-121.85680463653757,54.40782504196274
1988-03-18,Hart Ranges,-121.80816536724255,54.384884956644726
1988-03-18,Hart Ranges,-121.8145441459176,54.32382935020495
1988-03-18,Hart Ranges,-121.19663376141916,54.21280170917787
1988-03-18,Hart Ranges,-121.79136331029758,54.380223932418616
1988-03-18,Hart Ranges,-121.10982058667636,54.13236588612219
1988-03-19,Hart Ranges,-121.83576285628824,53.623829694095704
1988-03-19,Hart Ranges,-122.29806370999687,53.55552373615039
1988-03-21,Hart Ranges,-122.32375255946256,53.5538739808901
1988-03-22,Hart Ranges,-121.07798118187824,54.158829455811684
1988-03-22,Hart Ranges,-121.4215932363748,54.14494823396128
1988-03-22,Hart Ranges,-121.46447576308003,54.14460399088526
1988-03-22,Hart Ranges,-121.15282970436813,54.19775546216236
1988-03-22,Hart Ranges,-121.15238877247386,54.20763669344982
1988-03-22,Hart Ranges,-121.26635322153408,54.04932638804436
1988-03-22,Hart Ranges,-121.52636017909914,54.1265012928069
1988-03-23,Hart Ranges,-121.57407306094244,53.76122963278772
1988-03-23,Hart Ranges,-121.48179019789431,53.585702859655534
1988-03-23,Hart Ranges,-121.83576285628824,53.623829694095704
1988-03-23,Hart Ranges,-121.54686648329876,53.80225281549485
1988-03-30,Hart Ranges,-121.36021047662048,53.56521977061536
1988-03-30,Hart Ranges,-121.35627271324127,53.433016355401584
1988-03-30,Hart Ranges,-121.84314908821915,53.6301936298805
1988-03-30,Hart Ranges,-121.36358841855656,53.438510721786535
1988-03-30,Hart Ranges,-121.63572447061495,53.82487018594257
1988-03-30,Hart Ranges,-121.57789351143656,53.782848846586674
1988-03-30,Hart Ranges,-121.36021047662048,53.56521977061536
1988-03-30,Hart Ranges,-121.240554482214,53.61026612718791
1988-03-30,Hart Ranges,-121.23484046454752,53.38453496852727
1988-03-30,Hart Ranges,-121.32746817835545,53.55307972584149
1988-03-30,Hart Ranges,-122.47619101101292,53.55553757604642
1988-03-30,Hart Ranges,-121.84314908821915,53.6301936298805
1988-03-30,Hart Ranges,-121.32746817835545,53.55307972584149
1988-03-30,Hart Ranges,-122.47619101101292,53.55553757604642
1988-03-30,Hart Ranges,-121.23484046454752,53.38453496852727
1988-03-31,Hart Ranges,-121.11130930211618,54.13328818301007
1988-03-31,Hart Ranges,-121.23062949112794,53.99127504665676
1988-03-31,Hart Ranges,-121.11724605182523,54.238554433207284
1988-03-31,Hart Ranges,-121.19506194911621,54.21367706942457
1988-03-31,Hart Ranges,-121.47977909248421,54.144798219907905
1988-03-31,Hart Ranges,-121.11724605182523,54.238554433207284
1988-03-31,Hart Ranges,-121.4324072485298,54.142392913699034
1988-03-31,Hart Ranges,-121.43835907849329,54.14696464635751
1988-03-31,Hart Ranges,-121.82527891806524,54.32483315388997
1988-03-31,Hart Ranges,-121.11130930211618,54.13328818301007
1988-05-14,Hart Ranges,-122.3102560015802,53.54840363937582
1988-05-14,Hart Ranges,-121.21861031438841,53.37710175521724
1988-05-14,Hart Ranges,-122.31785965489195,53.54485173371891
1988-05-14,Hart Ranges,-121.82207299874482,53.463688652935026
1988-05-14,Hart Ranges,-121.18713029535351,53.58699394808289
1988-05-14,Hart Ranges,-121.16154040497507,53.5848053903752
1988-05-14,Hart Ranges,-121.75901923990305,53.507996906424296
1988-05-14,Hart Ranges,-121.16667735025268,53.64062137733875
1988-05-14,Hart Ranges,-121.22596421982571,53.52554622286998
1988-05-30,Hart Ranges,-121.11314324938242,54.16028462193539
1988-05-30,Hart Ranges,-121.15041480507419,54.21749438309757
1988-05-30,Hart Ranges,-121.17312930056428,54.39761920100968
1988-05-30,Hart Ranges,-121.49843789390692,54.17918924269343
1988-05-30,Hart Ranges,-121.90870019742748,54.42628076122297
1988-05-30,Hart Ranges,-121.43615131703731,54.164913452106134
1988-05-30,Hart Ranges,-121.74913575880127,54.50292866075576
1988-06-14,Hart Ranges,-121.9390343899745,54.4454252910669
1988-06-14,Hart Ranges,-121.24607615429152,53.62293283397029
1988-06-14,Hart Ranges,-121.17853943314691,53.646196373220995
1988-06-14,Hart Ranges,-121.62550495397049,53.81216895260592
1988-06-14,Hart Ranges,-121.1241014874622,54.155062357390186
1988-06-14,Hart Ranges,-121.65949981643007,54.315914480805986
1988-06-14,Hart Ranges,-122.3388322400984,53.554857166183176
1988-06-14,Hart Ranges,-121.1845874515971,53.646288258175204
1988-06-14,Hart Ranges,-121.23055615301813,54.38768806366585
1988-06-14,Hart Ranges,-121.74243697789795,53.50782360157074
1988-06-14,Hart Ranges,-121.51102790212074,54.21260330021711
1988-06-14,Hart Ranges,-121.03216587448992,54.31719876364438
1988-06-14,Hart Ranges,-121.12483219919477,54.24047054132549
1988-06-14,Hart Ranges,-121.68725497882612,54.5544023885081
1988-06-14,Hart Ranges,-121.04771380759595,53.431966519274866
1988-06-14,Hart Ranges,-121.01896574832956,53.40272391332525
1988-06-14,Hart Ranges,-121.43802081702887,54.155948994400866
1988-06-14,Hart Ranges,-121.83217064740568,53.4799684403244
1988-06-14,Hart Ranges,-121.51554678410388,54.428380623884145
1988-06-14,Hart Ranges,-120.88103765908166,53.029033419194405
1988-06-14,Hart Ranges,-121.85968587893517,54.41504257951886
1988-06-14,Hart Ranges,-120.93447936837616,54.33354388212842
1988-06-14,Hart Ranges,-121.25483327670568,53.52057726206292
1988-06-14,Hart Ranges,-121.28078039460071,54.512455767478606
1988-06-14,Hart Ranges,-121.18916198665951,53.645458575625156
1988-06-14,Hart Ranges,-122.31636509546914,53.54394432055246
1988-06-28,Hart Ranges,-122.34919118806756,53.56839710271497
1988-06-28,Hart Ranges,-121.74287011443428,53.442205984335224
1988-06-28,Hart Ranges,-121.8175051988414,53.46544138849742
1988-06-28,Hart Ranges,-120.86404496739006,53.010747123367615
1988-06-28,Hart Ranges,-122.3267570243029,53.554789807355384
1988-07-07,Hart Ranges,-121.18659444511252,54.371754724331815
1988-07-07,Hart Ranges,-121.4252292457233,54.170164340711224
1988-07-07,Hart Ranges,-121.05432123397298,54.33643528629444
1988-07-07,Hart Ranges,-121.6820063373966,54.333240040686434
1988-07-07,Hart Ranges,-121.89565195614608,54.395603527446184
1988-07-07,Hart Ranges,-121.04134143923952,54.31824703515851
1988-07-07,Hart Ranges,-121.16055200343945,53.64232535888688
1988-07-07,Hart Ranges,-121.20647766388727,53.522558458091275
1988-07-07,Hart Ranges,-121.51763854187529,54.4985142395991
1988-07-07,Hart Ranges,-121.18920592067585,54.242353966263636
1988-07-07,Hart Ranges,-121.3286386597658,54.475375476290935
1988-07-07,Hart Ranges,-121.13970269681849,53.634811216530714
1988-07-07,Hart Ranges,-121.33974553165537,53.58651262025806
1988-07-07,Hart Ranges,-121.00082645513024,53.34038746216097
1988-07-07,Hart Ranges,-121.2645415585053,53.541395222626285
1988-07-07,Hart Ranges,-121.0306842658628,53.50720508056854
1988-07-07,Hart Ranges,-121.26505760965023,53.565675173900594
1988-07-07,Hart Ranges,-121.17408042004486,54.20257402458371
1988-07-19,Hart Ranges,-121.306022130216,53.560868599334526
1988-07-19,Hart Ranges,-121.6354859675702,54.39114613780605
1988-07-19,Hart Ranges,-121.51820710060804,54.44009799571661
1988-07-19,Hart Ranges,-121.76191449100142,53.460383604262525
1988-07-19,Hart Ranges,-121.159877087259,54.3839347097374
1988-07-19,Hart Ranges,-121.0859269447808,53.41909981474455
1988-07-19,Hart Ranges,-121.29910704966952,54.4803565294072
1988-07-19,Hart Ranges,-121.58265353921446,54.13616594546501
1988-07-19,Hart Ranges,-121.70137048846055,54.353223918969114
1988-07-19,Hart Ranges,-121.43172807627472,54.16036155753075
1988-07-19,Hart Ranges,-121.33834128731462,53.58379622509022
1988-07-19,Hart Ranges,-122.35104502857305,53.54593528774827
1988-07-19,Hart Ranges,-120.76148461562624,53.37839296940373
1988-07-19,Hart Ranges,-121.33834128731462,53.58379622509022
1988-07-19,Hart Ranges,-120.99568677106804,54.30850776215911
1988-07-19,Hart Ranges,-121.43892591705307,53.55998044694458
1988-07-19,Hart Ranges,-121.94823920403714,54.44730331456602
1988-07-19,Hart Ranges,-120.8401333332741,53.04178411477462
1988-07-19,Hart Ranges,-122.34484209655753,53.556687988336506
1988-07-19,Hart Ranges,-121.33834128731462,53.58379622509022
1988-07-19,Hart Ranges,-121.18012881639014,53.64442259021979
1988-07-19,Hart Ranges,-121.50217023997801,54.49922239321905
1988-07-19,Hart Ranges,-121.74931339276384,53.4791299695369
1988-07-19,Hart Ranges,-121.00228546223819,53.341310952427705
1988-08-22,Hart Ranges,-122.26541708970706,53.52296790520839
1988-08-22,Hart Ranges,-121.39564494488029,54.380107589199675
1988-08-22,Hart Ranges,-121.25780483060936,54.39887078408763
1988-08-22,Hart Ranges,-121.80618249312911,54.40014488981866
1988-08-22,Hart Ranges,-121.42101524771944,54.40111549130182
1988-08-22,Hart Ranges,-120.9161185007682,54.148944619325455
1988-08-22,Hart Ranges,-121.8816945412602,54.45569353648987
1988-08-22,Hart Ranges,-121.1510168701304,54.20402000931428
1988-08-22,Hart Ranges,-121.25771431158635,54.291903612834005
1988-08-22,Hart Ranges,-121.02141136513755,54.31702281201574
1988-08-22,Hart Ranges,-120.94920530671395,53.28916381729165
1988-08-22,Hart Ranges,-121.20471591175185,53.59984494354032
1988-08-22,Hart Ranges,-121.24258291668751,53.45207435216757
1988-08-22,Hart Ranges,-121.19402840189116,53.60238103329393
1988-08-22,Hart Ranges,-121.07084784550908,53.41975614684856
1988-08-22,Hart Ranges,-121.06941792993292,54.30971064588372
1988-08-22,Hart Ranges,-121.64973112061432,54.42635990522482
1988-08-22,Hart Ranges,-121.84031596247564,53.457574628747246
1988-08-22,Hart Ranges,-121.25112990595196,53.610421173065816
1988-08-22,Hart Ranges,-122.26692533777356,53.522977162024276
1988-08-22,Hart Ranges,-121.17629025623556,53.59312208111863
1988-08-22,Hart Ranges,-121.54264571371849,54.4466870195175
1988-08-22,Hart Ranges,-121.53866107909036,54.124853545498574
1988-08-22,Hart Ranges,-121.84031596247564,53.457574628747246
1988-08-22,Hart Ranges,-121.72444400588377,54.35346999337451
1988-09-13,Hart Ranges,-121.2649802228656,53.493755383368864
1988-09-13,Hart Ranges,-121.25970940632295,53.659090630455246
1988-09-13,Hart Ranges,-122.31466733367355,53.555620024048125
1988-09-13,Hart Ranges,-121.77209205258158,53.47307369016831
1988-09-13,Hart Ranges,-121.52999092762022,54.45552190313461
1988-09-13,Hart Ranges,-121.02192852880272,54.30624430629241
1988-09-13,Hart Ranges,-121.63580313542143,54.42800102486982
1988-09-13,Hart Ranges,-121.94211800878536,54.445452328776724
1988-09-13,Hart Ranges,-120.9436043489045,53.37447788940129
1988-09-13,Hart Ranges,-121.54172037839176,54.12489065202934
1988-09-13,Hart Ranges,-121.05512688240934,54.319369027693924
1988-09-13,Hart Ranges,-121.85468824599121,54.428477086562125
1988-09-13,Hart Ranges,-121.00793106156094,53.445693995403545
1988-09-13,Hart Ranges,-121.54019072787862,54.124872108480155
1988-09-13,Hart Ranges,-121.65055767605358,54.401202464782855
