date,value
1988-05-01,6.4289999999999985
1988-06-01,9.765
1988-07-01,11.576
1988-08-01,11.706
1988-09-01,7.101
1988-10-01,2.768
1988-11-01,-5.3050000000000015
1988-12-01,-9.517
1989-01-01,-11.642
1989-02-01,-13.065
1989-03-01,-7.3
1989-04-01,2.373
1989-05-01,6.8740000000000006
1989-06-01,11.285
1989-07-01,13.157
1989-08-01,12.523
1989-09-01,8.526
1989-10-01,1.4780000000000002
1989-11-01,-5.7250000000000005
1989-12-01,-6.754
1990-01-01,-10.559
1990-02-01,-11.390999999999998
1990-03-01,-2.435
1990-04-01,2.2359999999999998
1990-05-01,6.803
1990-06-01,10.201
1990-07-01,13.683
1990-08-01,13.116
1990-09-01,9.271
1990-10-01,-0.14300000000000024
1990-11-01,-8.805
1990-12-01,-14.201
1991-01-01,-14.050999999999998
1991-02-01,-4.017999999999999
1991-03-01,-5.347
1991-04-01,2.272
1991-05-01,7.115
1991-06-01,10.092
1991-07-01,12.154000000000002
1991-08-01,12.405
1991-09-01,8.408999999999999
1991-10-01,-0.41400000000000015
1991-11-01,-5.602
1991-12-01,-7.189
1992-01-01,-6.717999999999999
1992-02-01,-6.696999999999999
1992-03-01,-0.4879999999999996
1992-04-01,1.812
1992-05-01,6.311
1992-06-01,11.995
1992-07-01,12.837000000000002
1992-08-01,11.842
1992-09-01,5.1850000000000005
1992-10-01,0.7989999999999999
1992-11-01,-4.247
1992-12-01,-14.300999999999998
1993-01-01,-14.604
1993-02-01,-8.884
1993-03-01,-2.891
1993-04-01,2.5490000000000004
1993-05-01,9.008
1993-06-01,10.311
1993-07-01,11.572000000000001
1993-08-01,11.857000000000001
1993-09-01,8.241
1993-10-01,2.977
1993-11-01,-5.271
1993-12-01,-7.21
1994-01-01,-10.323999999999998
1994-02-01,-14.485
1994-03-01,-1.4280000000000002
1994-04-01,2.865
1994-05-01,7.175
1994-06-01,10.325
1994-07-01,13.805
1994-08-01,13.441
1994-09-01,8.466000000000001
1994-10-01,1.743
1994-11-01,-7.282
1994-12-01,-10.791
1995-01-01,-11.545
1995-02-01,-8.317
1995-03-01,-5.186999999999999
1995-04-01,1.99
1995-05-01,8.265
1995-06-01,11.595
1995-07-01,12.667000000000002
1995-08-01,10.03
1995-09-01,9.822
1995-10-01,1.3219999999999998
1995-11-01,-6.877999999999999
1995-12-01,-12.171
1996-01-01,-17.802
1996-02-01,-8.514
1996-03-01,-5.587999999999999
1996-04-01,1.391
1996-05-01,4.702
1996-06-01,9.556000000000001
1996-07-01,12.613
1996-08-01,11.574000000000002
1996-09-01,6.336
1996-10-01,-0.09499999999999996
1996-11-01,-9.367
1996-12-01,-15.274
1997-01-01,-13.078
1997-02-01,-5.997000000000001
1997-03-01,-6.079
1997-04-01,0.8490000000000001
1997-05-01,7.129
1997-06-01,10.296
1997-07-01,12.498
1997-08-01,12.96
1997-09-01,8.671
1997-10-01,0.449
1997-11-01,-4.062
1997-12-01,-6.024
1998-01-01,-13.870999999999999
1998-02-01,-5.475
1998-03-01,-2.9799999999999995
1998-04-01,2.434
1998-05-01,9.456
1998-06-01,11.858
1998-07-01,14.434000000000001
1998-08-01,12.575
1998-09-01,8.46
1998-10-01,1.996
1998-11-01,-4.8740000000000006
1998-12-01,-10.794
1999-01-01,-11.366
1999-02-01,-7.77
1999-03-01,-3.623
1999-04-01,1.4
1999-05-01,4.631
1999-06-01,9.462000000000002
1999-07-01,11.636
1999-08-01,12.419
1999-09-01,7.3610000000000015
1999-10-01,1.6909999999999998
1999-11-01,-4.2940000000000005
1999-12-01,-7.1530000000000005
2000-01-01,-12.933
2000-02-01,-7.792000000000002
2000-03-01,-2.5580000000000003
2000-04-01,0.972
2000-05-01,5.15
2000-06-01,10.047
2000-07-01,12.473
2000-08-01,10.896
2000-09-01,7.045
2000-10-01,1.4309999999999998
2000-11-01,-4.371
2000-12-01,-11.38
2001-01-01,-6.682
2001-02-01,-9.758
2001-03-01,-3.843
2001-04-01,1.103
2001-05-01,5.492000000000001
2001-06-01,9.283
2001-07-01,12.193
2001-08-01,12.345999999999998
2001-09-01,7.973
2001-10-01,0.6699999999999999
2001-11-01,-4.84
2001-12-01,-11.347
2002-01-01,-9.986999999999998
2002-02-01,-7.64
2002-03-01,-8.953
2002-04-01,-0.9719999999999998
2002-05-01,4.729
2002-06-01,11.015999999999998
2002-07-01,12.332
2002-08-01,11.483
2002-09-01,7.035
2002-10-01,1.265
2002-11-01,-2.8960000000000004
2002-12-01,-7.221999999999999
2003-01-01,-8.902999999999997
2003-02-01,-8.206
2003-03-01,-5.702000000000001
2003-04-01,1.2970000000000002
2003-05-01,5.799
2003-06-01,10.717
2003-07-01,13.476
2003-08-01,12.114
2003-09-01,7.617000000000001
2003-10-01,2.9160000000000004
2003-11-01,-7.3820000000000014
2003-12-01,-8.868
2004-01-01,-13.589
2004-02-01,-6.0589999999999975
2004-03-01,-2.6060000000000003
2004-04-01,2.889
2004-05-01,6.801
2004-06-01,12.436
2004-07-01,14.054
2004-08-01,12.955
2004-09-01,6.414
2004-10-01,1.204
2004-11-01,-3.948
2004-12-01,-8.546
2005-01-01,-13.081
2005-02-01,-6.682
2005-03-01,-1.7169999999999996
2005-04-01,2.9240000000000004
2005-05-01,8.535
2005-06-01,10.629000000000001
2005-07-01,11.932
2005-08-01,12.008
2005-09-01,7.103
2005-10-01,1.986
2005-11-01,-4.104000000000001
2005-12-01,-7.769
2006-01-01,-8.117999999999999
2006-02-01,-8.231
2006-03-01,-5.795
2006-04-01,2.137
2006-05-01,6.813
2006-06-01,11.554
2006-07-01,13.644
2006-08-01,11.414000000000001
2006-09-01,8.587
2006-10-01,1.384
2006-11-01,-10.372
2006-12-01,-7.39
2007-01-01,-9.218
2007-02-01,-9.038
2007-03-01,-5.019
2007-04-01,0.6140000000000001
2007-05-01,6.235
2007-06-01,10.271
2007-07-01,13.733
2007-08-01,11.343
2007-09-01,7.086
2007-10-01,1.5539999999999998
2007-11-01,-5.485
2007-12-01,-11.997
2008-01-01,-12.470999999999998
2008-02-01,-8.846
2008-03-01,-4.345
2008-04-01,-0.524
2008-05-01,7.212999999999999
2008-06-01,9.433000000000002
2008-07-01,12.091
2008-08-01,11.892000000000001
2008-09-01,7.626
2008-10-01,1.632
2008-11-01,-3.6680000000000006
2008-12-01,-14.666
2009-01-01,-11.943
2009-02-01,-9.89
2009-03-01,-7.2959999999999985
2009-04-01,0.7210000000000001
2009-05-01,5.727
2009-06-01,11.029000000000002
