year,animal_id,longitude,latitude
1988,HR_151.499,-121.53010329294793,54.212782067521424
1988,HR_151.510,-121.08993784863613,54.27414333471146
1988,HR_151.519,-121.88149997961509,54.41424483322816
1988,HR_151.540,-121.18243345651564,54.331720155136615
1988,HR_151.550,-121.33045593079694,53.509735112915294
1988,HR_151.559,-121.07551560869234,53.35346616012714
1988,HR_151.570,-121.15301473378635,53.44206120912566
1988,HR_151.579,-121.76234688277678,54.36478761654303
1988,HR_151.589,-121.21800147058414,54.190843389611324
1988,HR_151.600,-120.95667436764629,53.16336073569492
1988,HR_151.609,-121.22732238271979,53.62679660082902
1988,HR_151.620,-121.23906441469467,53.458208896391625
1988,HR_151.629,-121.09496372202874,53.44441108509219
1988,HR_151.641,-121.28038202463466,53.50881275904507
1988,HR_151.649,-121.25519839979502,53.52953070967321
1988,HR_151.660,-121.54967791990998,53.966027533467894
1988,HR_151.670,-121.57704794543393,54.34785472311373
1988,HR_151.680,-121.80149997867987,53.53194280314196
1988,HR_151.690,-121.31556467603725,53.57968486287968
1988,HR_151.701,-122.3418594723136,53.56272947889489
1988,HR_151.711,-121.51790164193217,54.144936692571726
1988,HR_151.720,-121.8433408946374,54.41924988701946
1988,HR_151.730,-121.18533493258388,54.226507301217914
1988,HR_151.739,-121.70548155341905,54.457753333387586
1988,HR_151.749,-121.08855324080335,54.289699145901096
1988,HR_151.760,-122.3403494642074,53.562945073938245
1988,HR_151.770,-121.45682670783852,54.377933067052396
1988,HR_151.780,-121.013217626522,54.149121487866076
1988,HR_151.790,-121.83976693861128,53.5356152503767
1988,HR_151.801,-121.6026986359614,53.81309731801445
1989,HR_151.499,-121.58040877327436,54.26511163409638
1989,HR_151.510,-121.1399086965584,54.27541700227314
1989,HR_151.519,-121.8919412125663,54.42595756745488
1989,HR_151.540,-121.19443294017978,54.371246643044884
1989,HR_151.550,-121.3262479874993,53.54412625420146
1989,HR_151.559,-121.176066884384,53.36305586937588
1989,HR_151.570,-121.23300877425585,53.42211370513837
1989,HR_151.579,-121.73997349755082,54.35447055353174
1989,HR_151.589,-121.40284759978027,54.21942008453095
1989,HR_151.600,-120.94992781572496,53.140075512772654
1989,HR_151.609,-121.24395282007005,53.6153469761331
1989,HR_151.620,-121.32228431517157,53.54757251471153
1989,HR_151.629,-121.09392332995583,53.40712827251115
1989,HR_151.641,-121.30837288894097,53.504691892733874
1989,HR_151.649,-121.21862456769294,53.413272154354864
1989,HR_151.660,-121.56843222142926,53.86154036034339
1989,HR_151.670,-121.66555437270343,54.413194127110074
1989,HR_151.680,-121.82581205231601,53.55699428452174
1989,HR_151.690,-121.26366037464174,53.54712836502478
1989,HR_151.701,-122.3290094600353,53.563187934893556
1989,HR_151.711,-121.48302772563768,54.092191206839125
1989,HR_151.720,-121.89076343215453,54.44889642945916
1989,HR_151.730,-121.20940526214618,54.25433962483551
1989,HR_151.735,-121.62259997233748,53.81103011871202
1989,HR_151.739,-121.56869081529004,54.43717872243683
1989,HR_151.749,-121.11609914885008,54.27811443258247
1989,HR_151.760,-122.34124833998432,53.544678212110576
1989,HR_151.770,-121.59891071740772,54.247629218719396
1989,HR_151.780,-120.86093989096163,54.06077638941494
1989,HR_151.785,-121.62017236574853,53.80520994183976
1989,HR_151.790,-121.84745635351902,53.56909612219718
1989,HR_151.805,-121.67386621994304,53.81386379352167
1989,HR_151.960,-121.37118833887388,53.98904250859613
1990,HR_151.000,-121.55957253128204,53.83027217805512
1990,HR_151.499,-121.564460389742,54.21647776025837
1990,HR_151.510,-121.11967532769633,54.30228200230126
1990,HR_151.519,-121.92575439888341,54.43988587492101
1990,HR_151.540,-121.18244289046747,54.37062071671328
1990,HR_151.550,-121.3226642420113,53.47747775002974
1990,HR_151.559,-121.15418204798857,53.370993146476415
1990,HR_151.570,-121.29338706460832,53.487676243045144
1990,HR_151.579,-121.65959173331083,54.28442253707387
1990,HR_151.589,-121.33397201735669,54.15064779278746
1990,HR_151.600,-120.95516087022631,53.200209081080956
1990,HR_151.609,-121.19385543460056,53.61405895068312
1990,HR_151.620,-121.28584299972285,53.60929368884683
1990,HR_151.635,-121.38742977430931,54.00425939191881
1990,HR_151.641,-121.29843316088991,53.52716727613148
1990,HR_151.649,-121.29029039558931,53.48614919901966
1990,HR_151.660,-121.49796621603423,53.99587523086946
1990,HR_151.670,-121.58329330226742,54.40847899765626
1990,HR_151.680,-121.80876592864126,53.539487910651644
1990,HR_151.690,-121.27576777270701,53.5504833129791
1990,HR_151.700,-122.328345724731,53.614123349098264
1990,HR_151.701,-122.31864732107749,53.660984377758254
1990,HR_151.711,-121.43562206344056,54.16274124636652
1990,HR_151.720,-121.8542034064526,54.4128498849189
1990,HR_151.735,-121.63046592042507,53.800329942643856
1990,HR_151.739,-121.71967021721287,54.450530898043205
1990,HR_151.744,-121.34750321666868,54.27519016395776
1990,HR_151.749,-121.06578891260617,54.30691517629843
1990,HR_151.760,-122.30218368761543,53.61832450784697
1990,HR_151.775,-121.45771554605456,54.00333720402585
1990,HR_151.785,-121.63925518054218,53.79883406795711
1990,HR_151.790,-121.8262110950701,53.5403165025759
1990,HR_151.805,-121.61016628828682,53.79346983222638
1990,HR_151.960,-121.44521686569321,53.9505681129903
1991,HR_151.499,-121.54750190854284,54.21078019511122
1991,HR_151.510,-121.16487881907847,54.30125308594491
