,dt,AverageTemperature,AverageTemperatureUncertainty,State,Country
63403,1838-12-01,-11.228,3.573,British Columbia,Canada
63404,1839-01-01,-14.606,3.325,British Columbia,Canada
63405,1839-02-01,-7.053,3.312,British Columbia,Canada
63406,1839-03-01,-7.028,2.556,British Columbia,Canada
63407,1839-04-01,1.631,2.408,British Columbia,Canada
63408,1839-05-01,5.093,2.2359999999999998,British Columbia,Canada
63409,1839-06-01,10.002,2.262,British Columbia,Canada
63410,1839-07-01,12.872,3.4139999999999997,British Columbia,Canada
63411,1839-08-01,12.559000000000001,2.98,British Columbia,Canada
63412,1839-09-01,6.448,2.656,British Columbia,Canada
63413,1839-10-01,-0.778,2.478,British Columbia,Canada
63414,1839-11-01,-5.751,3.924,British Columbia,Canada
63415,1839-12-01,-11.397,3.915,British Columbia,Canada
63416,1840-01-01,-10.013,4.3069999999999995,British Columbia,Canada
63417,1840-02-01,-13.231,4.391,British Columbia,Canada
63418,1840-03-01,-4.692,3.8689999999999998,British Columbia,Canada
63419,1840-04-01,-1.263,3.076,British Columbia,Canada
63420,1840-05-01,5.178,2.45,British Columbia,Canada
63421,1840-06-01,9.376,2.635,British Columbia,Canada
63422,1840-07-01,12.272,2.5540000000000003,British Columbia,Canada
63423,1840-08-01,10.562000000000001,2.57,British Columbia,Canada
63424,1840-09-01,6.563,2.267,British Columbia,Canada
63425,1840-10-01,-0.9340000000000002,2.6710000000000003,British Columbia,Canada
63426,1840-11-01,-8.294,4.023,British Columbia,Canada
63427,1840-12-01,-13.392,3.125,British Columbia,Canada
63428,1841-01-01,-14.32,2.64,British Columbia,Canada
63429,1841-02-01,-9.917,2.285,British Columbia,Canada
63430,1841-03-01,-5.186,4.232,British Columbia,Canada
63431,1841-04-01,-2.0710000000000006,2.526,British Columbia,Canada
63432,1841-05-01,4.8180000000000005,2.5789999999999997,British Columbia,Canada
63433,1841-06-01,10.03,2.392,British Columbia,Canada
63434,1841-07-01,12.599,2.33,British Columbia,Canada
63435,1841-08-01,11.278,2.2230000000000003,British Columbia,Canada
63436,1841-09-01,5.202000000000001,2.3209999999999997,British Columbia,Canada
63437,1841-10-01,0.115,2.262,British Columbia,Canada
63438,1841-11-01,-5.796,2.326,British Columbia,Canada
63439,1841-12-01,-12.166,3.162,British Columbia,Canada
63440,1842-01-01,-12.76,2.54,British Columbia,Canada
63441,1842-02-01,-10.425999999999998,2.383,British Columbia,Canada
63442,1842-03-01,-6.359999999999999,4.453,British Columbia,Canada
63443,1842-04-01,0.5930000000000001,2.9,British Columbia,Canada
63444,1842-05-01,4.125,2.748,British Columbia,Canada
63445,1842-06-01,8.923,2.3369999999999997,British Columbia,Canada
63446,1842-07-01,11.037,2.526,British Columbia,Canada
63447,1842-08-01,10.688,2.57,British Columbia,Canada
63448,1842-09-01,5.807,2.255,British Columbia,Canada
63449,1842-10-01,-0.4910000000000001,2.471,British Columbia,Canada
63450,1842-11-01,-7.155,2.386,British Columbia,Canada
63451,1842-12-01,-10.046,2.3930000000000002,British Columbia,Canada
63452,1843-01-01,-12.877,3.466,British Columbia,Canada
63453,1843-02-01,-12.776,4.902,British Columbia,Canada
63454,1843-03-01,-6.779,2.556,British Columbia,Canada
63455,1843-04-01,-0.3659999999999999,2.399,British Columbia,Canada
63456,1843-05-01,3.885,2.187,British Columbia,Canada
63457,1843-06-01,8.727,2.435,British Columbia,Canada
63458,1843-07-01,11.145,2.593,British Columbia,Canada
63459,1843-08-01,10.321000000000002,2.35,British Columbia,Canada
63460,1843-09-01,5.41,2.327,British Columbia,Canada
63461,1843-10-01,-0.6380000000000003,2.509,British Columbia,Canada
63462,1843-11-01,-7.3679999999999986,2.658,British Columbia,Canada
63463,1843-12-01,-10.632,2.708,British Columbia,Canada
63464,1844-01-01,-15.32,3.542,British Columbia,Canada
63465,1844-02-01,-9.097,2.872,British Columbia,Canada
63466,1844-03-01,-6.686999999999999,3.135,British Columbia,Canada
63467,1844-04-01,0.3650000000000001,2.184,British Columbia,Canada
63468,1844-05-01,4.272,2.1590000000000003,British Columbia,Canada
63469,1844-06-01,9.361,2.781,British Columbia,Canada
63470,1844-07-01,11.595,2.228,British Columbia,Canada
63471,1844-08-01,10.249,2.8160000000000003,British Columbia,Canada
63472,1844-09-01,5.425,2.109,British Columbia,Canada
63473,1844-10-01,-0.669,2.5989999999999998,British Columbia,Canada
63474,1844-11-01,-8.865,2.512,British Columbia,Canada
63475,1844-12-01,-12.287,2.494,British Columbia,Canada
63476,1845-01-01,-12.655999999999999,2.755,British Columbia,Canada
63477,1845-02-01,-11.648,3.5639999999999996,British Columbia,Canada
63478,1845-03-01,-6.104,2.089,British Columbia,Canada
63479,1845-04-01,0.408,2.141,British Columbia,Canada
63480,1845-05-01,5.05,2.432,British Columbia,Canada
63481,1845-06-01,8.729000000000001,2.523,British Columbia,Canada
63482,1845-07-01,11.786,2.261,British Columbia,Canada
63483,1845-08-01,11.423,2.142,British Columbia,Canada
63484,1845-09-01,5.722,2.5269999999999997,British Columbia,Canada
